id,trial,prob1,prob2,mag1,mag2,stimID,choice,happiness,gain_loss,group,context,CR,winLose,choseRisky,mag1_norm,mag2_norm,outcome
P_MoodFlexi_01_Behavior10_01s2v0,102,0.2,0.8,40.0,40.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,103,0.2,0.8,10.0,40.0,2.0,1.0,,0.0,s2v,volatile,0,0,1.0,0.0,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,104,0.8,0.2,10.0,80.0,1.0,1.0,0.6354166666666666,10.0,s2v,volatile,0,1,1.0,0.0,1.0,1.0
P_MoodFlexi_01_Behavior10_01s2v0,105,0.8,0.2,40.0,20.0,1.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,106,0.8,0.2,20.0,40.0,1.0,1.0,,20.0,s2v,volatile,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,107,0.8,0.2,80.0,10.0,1.0,1.0,0.36328125,0.0,s2v,volatile,0,0,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,108,0.8,0.2,10.0,10.0,2.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,109,0.8,0.2,60.0,10.0,1.0,1.0,,60.0,s2v,volatile,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,110,0.8,0.2,10.0,60.0,1.0,1.0,,10.0,s2v,volatile,0,1,1.0,0.0,0.7142857142857143,0.7142857142857143
P_MoodFlexi_01_Behavior10_01s2v0,111,0.2,0.8,40.0,40.0,2.0,1.0,0.7786458333333334,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,112,0.2,0.8,20.0,40.0,2.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,113,0.2,0.8,10.0,10.0,2.0,1.0,,10.0,s2v,volatile,0,1,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,114,0.2,0.8,60.0,10.0,2.0,1.0,,0.0,s2v,volatile,0,0,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,115,0.2,0.8,10.0,60.0,2.0,1.0,0.8294270833333334,60.0,s2v,volatile,0,1,1.0,0.0,0.7142857142857143,0.7142857142857143
P_MoodFlexi_01_Behavior10_01s2v0,116,0.2,0.8,40.0,10.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,117,0.8,0.2,40.0,10.0,1.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,118,0.8,0.2,20.0,40.0,1.0,1.0,0.9388020833333334,20.0,s2v,volatile,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,119,0.8,0.2,80.0,10.0,1.0,1.0,,80.0,s2v,volatile,0,1,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,120,0.8,0.2,10.0,80.0,1.0,1.0,,0.0,s2v,volatile,0,0,1.0,0.0,1.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,121,0.2,0.8,40.0,10.0,2.0,1.0,,10.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,122,0.2,0.8,80.0,10.0,1.0,0.0,0.828125,0.0,s2v,volatile,0,0,1.0,1.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,123,0.2,0.8,60.0,10.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,124,0.2,0.8,10.0,40.0,1.0,0.0,,10.0,s2v,volatile,0,1,1.0,0.0,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,125,0.2,0.8,10.0,80.0,2.0,1.0,0.75390625,0.0,s2v,volatile,0,0,1.0,0.0,1.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,126,0.2,0.8,40.0,20.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.14285714285714285,0.0
P_MoodFlexi_01_Behavior10_01s2v0,127,0.8,0.2,40.0,40.0,1.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,128,0.8,0.2,10.0,10.0,1.0,1.0,0.8489583333333334,10.0,s2v,volatile,0,1,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,129,0.8,0.2,60.0,10.0,1.0,1.0,,60.0,s2v,volatile,0,1,1.0,0.7142857142857143,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,130,0.8,0.2,40.0,20.0,1.0,1.0,,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
P_MoodFlexi_01_Behavior10_01s2v0,131,0.8,0.2,20.0,40.0,1.0,1.0,,20.0,s2v,volatile,0,1,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,132,0.8,0.2,40.0,40.0,1.0,1.0,1.0,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
P_MoodFlexi_01_Behavior10_01s2v0,133,0.8,0.2,40.0,20.0,1.0,1.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.14285714285714285,0.0
